time,pna,ea,wa,wp,eu,soi,esoi,nino12,nino34,nino4
139657.5,-28.770508,-80.30664,-194.56665,-160.93481,-93.99426,399.95312,571.6328,19.302084,22.91151,24.139069
139688.0,-34.89966,-112.445435,-173.78564,-160.21997,-28.228638,431.92188,427.8828,19.821066,22.186977,23.004955
139718.5,33.15869,-54.816406,-242.99707,-255.70605,-34.57544,397.0703,423.17188,20.771652,22.569078,23.424421
139749.0,-29.251953,-120.725586,-203.20288,-226.802,27.806519,461.1875,411.22656,21.899132,22.540676,23.204908
139779.5,-1.7857666,-26.952759,-322.6797,-179.1438,54.64856,250.30469,357.66406,23.491495,22.832384,23.35004
139810.5,48.810425,-186.17749,-346.3833,-188.55103,8.511353,124.75781,251.79688,25.061617,23.646591,23.88025
139840.0,-27.009277,-189.54883,-343.32178,-142.56128,-22.810059,-57.695312,323.71094,25.566626,24.126892,24.408726
139869.5,9.922852,-158.86194,-217.42188,-212.46826,-22.143066,169.63281,220.91406,26.328905,24.524796,24.676493
139900.0,10.57019,-115.82764,-129.40479,-244.25635,-37.04834,186.91406,156.90625,26.341373,25.371225,25.360735
139930.5,13.120605,-82.685425,-179.96265,-232.14624,-14.565308,283.3828,341.7578,24.083563,26.085648,26.123493
139961.0,14.825928,-118.08252,-166.65942,-184.08423,-76.91699,252.79688,352.35938,22.495834,26.1146,26.46424
139991.5,-44.11377,-104.78699,-193.76831,-163.77441,-62.56128,327.8828,396.3047,21.975868,25.668373,26.237198
140022.5,-41.27014,-74.84192,-149.53564,-131.47827,-31.748169,385.39844,366.27344,22.01525,25.091223,25.733904
140053.0,-34.839355,-107.69385,-168.15747,-215.2627,55.964233,453.53125,288.57812,21.997305,24.754564,25.375824
140083.5,-59.355957,-150.0929,-174.7727,-303.677,-141.46033,344.72656,111.21094,21.982164,24.70323,25.31739
140114.0,9.749268,-141.02881,-174.72192,-300.3047,-59.375122,287.08594,355.6797,23.29897,24.737656,25.576427
140144.5,30.435059,-144.83472,-235.94946,-302.51245,-16.473633,268.34375,295.6797,24.063875,24.96925,25.280909
140175.5,16.883179,-18.375,-274.04102,-309.6748,21.338135,134.51562,214.17969,26.17152,25.243126,25.402288
